"","app_id","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"11849",-5825,1,"SC",36,2,"R",1.36,6600,19,1.83,48.65,5.4,3.95,9.97,6945,0.0242457105,64.578125,1,0,688.51,5,2
"11850",5851,1,"SD",18,1,"P",1.21,193.5,22,1,38.4,14.033,0,20.615,157.11,0.0481673882,66.625,1.02,1,0,3,-1
"11851",5945,1,"SC",18,1,"P",1.32,398.625,45,1,40.8933333333333,11.19,2,19.13,287.56,0,75.453125,1,1,7,3,-1
"11852",-5811,1000,"SF",31,1,"R",1.99,755,8,2,334,6.35,1.67,5.26,684.78,0,40.7071875,2,2,0,2,1
"11853",5740,1,"SL",21,6,"R",1.14,1159.9,31.536,1.46,16.36,11.49,2.69,21.1033333333333,312.5,0,80.078125,1.04,0,192.28,5,-1
"11854",-5937,0,"SM",36,1,"R",1.28,500,16,5,0,8.19,4,10.7,1156.45,0.059006359,76.609375,1,3,440,3,2
"11855",5911,0,"SO",19,0,"P",1.26,392.5,43,1,26.91,0,0,2,321.86,0,69.98419921875,1,1,0,3,1
"11856",5917,0,"SO",19,1,"P",1,1000,2,1,25.95,10.43,1.58,3,185,0.6284466796,36.171875,1,1,319,3,-1
"11857",5730,0,"SH",18,1,"H",1.23,2636,12,1,21.85,3,0,4,934.96,0,74.875,1.01,1,0,3,-1
"11858",5910,0,"SO",18,1,"P",1.24,209.916666666667,31.7885555555556,1.01,47.74,1,1,5,310.37,0.3369328706,80.84375,1.05,0,3.07333333333278,5,-1
"11859",-5763,800,"SL",18,1,"P",3,250,6,1,340,0,0,6,383.762857142857,0.1687365957,69.796875,3,1,0,3,1
"11860",5850,0,"SO",18,1,"P",1.3,447.5,10.83,1.09,113.965,7,1,5,281.49,0.2398851933,38.4140625,1.64,0,9.16999999999973,5,3
"11861",5895,0,"SF",19,1,"P",1.13,457.861111111111,15,1,0,0,0,6,458.54,0.0562882973,66.390625,1,1,0,3,0
"11862",5743,0,"SO",18,1,"P",1.22,398.833333333333,31.7566666666667,1.02,40.17,0,0,6,331.12,0.1395690581,58.84375,1.04,0,2.22999999999947,5,-1
"11863",-5746,0,"SA",20,1,"P",1,446,3,1,1,11,1,8,165.18,0.2016427144,58.5625,1,1,0,3,1
