"","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","var.FT","var.SA","var.SB","var.SC","var.SD","var.SE","var.SF","var.SG","var.SH","var.SJ","var.SK","var.SL","var.SM","var.SN","var.SO","var.H","var.P","var.R","var.1","var.2","var.3","var.4","var.5","response"
"151",0,"SK",25,1,"P",1,3150,65,1,33,27,7,6,404,0.0617304108,91.125,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
"152",0,"SD",19,1,"R",2,3200,4,1,230,12,0,10,3720,0.356764555,40.765625,2,1,11,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"153",2,"SO",21,1,"R",1,1250,15,1,51,12,1,13,30,0.1879235147,74.875,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"155",1,"SO",31,1,"R",1,4450,40,1,29,4,0,24,497,0.258034437,38.53125,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
"157",0,"SO",20,1,"P",1,200,1,1,109,13,1,39,4124,0.1185319114,49.265625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"159",1,"SA",22,4,"P",1,400,25,1,0,18,0,51,373,0.0271141469,38.984375,1,1,725,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"160",300,"SO",19,1,"P",1,1350,14,1,19,11,0,34,93,0.0362955423,74.75,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"166",2,"SO",19,1,"P",1,8550,2,1,64,8,1,3,0,0.1067439858,52.3515625,1,0,170,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"167",0,"SM",22,1,"P",1,50,52,1,40,1,5,10,1,0,93,1,0,158,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"168",0,"SL",20,3,"P",1,2350,23,2,36,0,0,2,247,0,57.21875,1,1,1920,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"169",1000,"SL",26,0,"P",3,350,10,3,0,23,8,24,310,0.0258136083,29.3515625,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"170",1,"SD",23,1,"R",1,450,21,1,84,3,3,28,464,0.0070633173,60.515625,2,0,0,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"171",0,"FT",26,0,"P",1,600,6,1,0,24,11,35,1,0,38.53125,1,0,0,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"172",0,"SF",19,0,"R",1,150,4,1,49,14,1,17,31,0.3696014397,54.7421875,2,0,0,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"174",1,"SO",20,1,"P",1,200,2,1,0,1,0,2,961,0.2176024243,43.1328125,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"175",1,"SO",21,5,"P",1,950,10,1,30,28,3,10,0,0.2730471147,60.953125,2,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"177",0,"SO",18,1,"R",1,200,2,1,0,19,0,20,0,0,55.90625,1,0,24,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"180",600,"SB",20,1,"R",1,250,7,2,23,7,0,17,1240,0.1916109626,71.09375,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"182",0,"SB",19,1,"P",1,250,11,1,40,4,3,4,0,0.1868432141,30.79296875,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"186",0,"SB",30,1,"R",1,500,11,1,0,28,0,8,278,0.1345534017,74.3125,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"189",0,"SO",30,0,"R",1,150,7,1,45,2,0,12,1023,0.339156392,38.8125,2,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"190",0,"SH",19,1,"P",1,500,9,3,30,23,2,10,868,0,57.390625,1,1,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"193",0,"SF",17,0,"P",1,250,62,1,23,6,0,12,496,0.0379615118,64.875,1,0,0,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"195",0,"SO",19,1,"P",1,250,12,1,1,22,1,10,5301,0.0279518446,84.625,1,1,2,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"196",500,"SB",21,0,"R",1,5300,3,1,0,21,1,27,248,0.6305130385,71.734375,1,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"198",1,"SO",19,2,"R",1,100,15,2,31,16,1,3,0,0.1207500766,67.140625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"200",0,"SM",23,5,"R",1,100,13,2,0,10,3,9,31,0,35.234375,1,2,684,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"201",1,"SL",26,3,"P",1,3200,6,3,0,10,9,5,1735,0.049869619,56.9296875,1,2,960,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"203",1,"SO",19,0,"P",1,500,5,2,89,12,2,16,589,0.0954345851,75.90625,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"204",0,"SF",18,0,"P",1,500,2,1,25,20,0,3,185,0.0682869942,24.45703125,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"205",0,"SA",20,2,"R",3,500,39,2,25,13,3,61,342,0.0638384211,79.234375,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"206",2,"SA",21,1,"P",1,950,44,1,48,11,2,2,0,0.0916146927,37.7890625,1,0,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"207",0,"SB",18,1,"P",1,250,53,1,231,9,0,13,0,0.4232385475,31.06640625,3,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"209",400,"FT",44,0,"R",2,2100,28,1,0,14,2,13,1210,0.1088483338,48.375,1,0,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"212",0,"SC",18,0,"P",3,100,2,1,0,6,1,9,186,0,34.203125,1,0,792,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
